Date,SPY,EFA,IEF,VNQ,DBC
2006-04-18,90.33660125732422,37.166141510009766,48.02918243408203,28.08432388305664,20.334617614746094
2006-04-19,90.50941467285156,37.42192077636719,47.89287567138672,28.42934226989746,20.53281021118164
2006-04-20,90.6338119506836,37.2551155090332,47.85137939453125,28.459529876708984,20.294981002807617
2006-04-21,90.64764404296875,37.505332946777344,47.952144622802734,28.463834762573242,20.72307586669922
2006-04-24,90.48176574707031,37.544254302978516,48.01140213012695,28.31720733642578,20.310834884643555
2006-04-25,90.1085433959961,37.52202224731445,47.7091178894043,28.101581573486328,20.37425994873047
2006-04-26,90.12928009033203,37.75555419921875,47.6854248046875,28.015321731567383,20.294981002807617
2006-04-27,90.56472778320312,37.822269439697266,47.815826416015625,28.192140579223633,19.97787094116211
2006-04-28,90.86882781982422,37.827842712402344,47.89879608154297,28.295654296875,20.310834884643555
2006-05-01,90.12928009033203,37.81116485595703,47.63941192626953,27.95493507385254,20.53281021118164
2006-05-02,90.80664825439453,38.38945388793945,47.716758728027344,27.670310974121094,20.770641326904297
2006-05-03,90.46794128417969,38.16148376464844,47.65127944946289,27.722057342529297,20.398040771484375
2006-05-04,90.79278564453125,38.4561882019043,47.621559143066406,28.114517211914062,20.152280807495117
2006-05-05,91.59457397460938,39.04559326171875,47.73460388183594,28.476789474487305,20.37425994873047
2006-05-08,91.48399353027344,39.01222229003906,47.75837326049805,28.601858139038086,20.31876564025879
2006-05-09,91.66370391845703,39.245765686035156,47.74055480957031,28.588909149169922,20.63587188720703
