,SPY,EFA,IEF,VNQ,DBC
2012-12-31,113.38562774658203,38.59526824951172,80.49573516845703,38.80742645263672,23.486255645751953
2013-01-31,119.18983459472656,40.03428649902344,79.45487213134766,40.25827407836914,24.069608688354492
2013-02-28,120.7105941772461,39.518409729003906,80.35467529296875,40.74777603149414,22.93671989440918
2013-03-31,125.29409790039062,40.03428649902344,80.58515930175781,41.91813659667969,23.088899612426758
2013-04-30,127.70128631591797,42.0434684753418,81.81427764892578,44.74120330810547,22.209646224975586
2013-05-31,130.71630859375,40.7741584777832,79.27394104003906,42.066715240478516,21.863018035888672
2013-06-30,128.9719696044922,39.68224334716797,77.25550842285156,41.233001708984375,21.245847702026367
2013-07-31,135.6367950439453,41.79446792602539,76.98306274414062,41.60499954223633,21.922195434570312
2013-08-31,131.56875610351562,40.97728729248047,75.887939453125,38.70094299316406,22.539365768432617
2013-09-30,135.73243713378906,44.18372344970703,77.2889633178711,40.04844284057617,21.778472900390625
2013-10-31,142.0177001953125,45.624183654785156,77.89008331298828,41.85893249511719,21.77001953125
2013-11-30,146.22682189941406,45.873504638671875,77.20756530761719,39.660919189453125,21.56711196899414
2013-12-31,150.01797485351562,46.871788024902344,75.59342956542969,39.701316833496094,21.69392967224121
2014-01-31,144.73007202148438,44.43389129638672,77.9090576171875,41.398582458496094,21.034488677978516
2014-02-28,151.31759643554688,47.158180236816406,78.18756866455078,43.495574951171875,22.091283798217773
2014-03-31,152.57286071777344,46.94162368774414,77.74888610839844,43.71171188354492,22.08283042907715
2014-04-30,153.6334686279297,47.723995208740234,78.33846282958984,45.1477165222168,22.328006744384766
2014-05-31,157.19879150390625,48.485408782958984,79.7684555053711,46.23089599609375,22.006738662719727
2014-06-30,160.4441375732422,48.93183898925781,79.59548950195312,46.755245208740234,22.471731185913086
2014-07-31,158.28811645507812,47.65789031982422,79.42002868652344,46.792724609375,21.406478881835938
2014-08-31,164.53472900390625,47.74378204345703,80.9133529663086,48.21713638305664,21.161306381225586
2014-09-30,162.26478576660156,45.89014434814453,80.06417083740234,45.304534912109375,19.631061553955078
2014-10-31,166.08628845214844,45.76848220825195,81.29419708251953,49.806617736816406,18.870168685913086
2014-11-30,170.64898681640625,45.7971076965332,82.34174346923828,50.80287551879883,17.26383399963379
2014-12-31,170.216064453125,43.96853256225586,82.44835662841797,51.77011489868164,15.598326683044434
2015-01-31,165.1726837158203,44.2431526184082,85.9955062866211,55.31732940673828,14.710612297058105
2015-02-28,174.45619201660156,47.04719161987305,83.8698959350586,53.28488540649414,15.361600875854492
2015-03-31,171.71627807617188,46.37508010864258,84.58789825439453,54.20771408081055,14.431621551513672
2015-04-30,173.4048614501953,48.066184997558594,84.05243682861328,51.03794479370117,15.463053703308105
2015-05-31,175.63417053222656,48.16013717651367,83.70249938964844,50.88364791870117,14.972697257995605
2015-06-30,172.06674194335938,46.65839767456055,82.3373794555664,48.50804901123047,15.217878341674805
2015-07-31,175.95358276367188,47.60639953613281,83.5876235961914,51.307228088378906,13.298731803894043
2015-08-31,165.22915649414062,44.071571350097656,83.65367889404297,48.079410552978516,13.264915466308594
2015-09-30,161.01316833496094,42.124107360839844,84.9747314453125,49.55052185058594,12.808380126953125
2015-10-31,174.7089385986328,44.90934371948242,84.43350982666016,52.40390396118164,12.850651741027832
2015-11-30,175.34751892089844,44.57129669189453,84.07243347167969,52.075931549072266,11.996759414672852
2015-12-31,172.31704711914062,43.531944274902344,83.69155883789062,53.0294303894043,11.295045852661133
2016-01-31,163.7379913330078,41.129974365234375,86.4815673828125,51.2070198059082,10.804692268371582
2016-02-29,163.60272216796875,39.75847625732422,87.76661682128906,51.02080154418945,10.779330253601074
2016-03-31,174.60765075683594,42.37544631958008,87.7085952758789,56.36032485961914,11.235865592956543
2016-04-30,175.29580688476562,43.31695556640625,87.5716781616211,55.03536605834961,12.3264799118042
2016-05-31,178.27786254882812,43.27989196777344,87.48477172851562,56.272891998291016,12.436387062072754
2016-06-30,178.89752197265625,42.23277282714844,90.18596649169922,60.171714782714844,12.97746753692627
2016-07-31,185.42214965820312,43.91240310668945,90.40824127197266,62.736820220947266,12.07284927368164
2016-08-31,185.64419555664062,44.14694595336914,89.49385833740234,60.375301361083984,12.16584587097168
2016-09-30,185.65492248535156,44.737083435058594,89.70635986328125,59.26887130737305,12.690017700195312
2016-10-31,182.43626403808594,43.74594497680664,88.365478515625,55.8660888671875,12.647747039794922
2016-11-30,189.15689086914062,42.96666717529297,84.63004302978516,54.929962158203125,12.859106063842773
2016-12-31,192.99148559570312,44.129451751708984,84.52976989746094,57.57602310180664,13.391732215881348
2017-01-31,196.44497680664062,45.58184051513672,84.71526336669922,57.46440124511719,13.315641403198242
2017-02-28,204.1636505126953,46.124568939208984,85.32829284667969,59.480567932128906,13.290279388427734
2017-03-31,204.4188690185547,47.615169525146484,85.39701080322266,58.0389404296875,12.859106063842773
2017-04-30,206.4479217529297,48.76942825317383,86.34387969970703,58.17948913574219,12.512475967407227
2017-05-31,209.36151123046875,50.49700164794922,87.05776977539062,57.757869720458984,12.334935188293457
2017-06-30,210.69610595703125,50.646488189697266,86.61415100097656,59.04737091064453,12.216572761535645
2017-07-31,215.02684020996094,51.990325927734375,86.93879699707031,59.77811050415039,12.715381622314453
2017-08-31,215.6542510986328,51.967018127441406,88.20598602294922,59.622039794921875,12.766108512878418
2017-09-30,219.99954223632812,53.19435119628906,86.9344482421875,59.55401611328125,13.01973819732666
2017-10-31,225.18360900878906,54.087642669677734,86.77015686035156,58.91611099243164,13.535456657409668
2017-11-30,232.0665283203125,54.46051025390625,86.5278549194336,60.48579025268555,13.662271499633789
2017-12-31,234.88101196289062,55.195106506347656,86.6877212524414,60.39663314819336,14.042717933654785
2018-01-31,248.11874389648438,57.96624755859375,84.82372283935547,57.827335357666016,14.456984519958496
2018-02-28,239.0969696044922,55.16370391845703,84.03253936767578,53.38747024536133,14.03426456451416
2018-03-31,232.5432891845703,54.7005500793457,85.00374603271484,55.464637756347656,14.35552978515625
2018-04-30,233.74510192871094,55.53266906738281,83.91865539550781,55.92028045654297,14.8458833694458
2018-05-31,239.42724609375,54.48073196411133,84.74617004394531,57.97807693481445,15.243242263793945
2018-06-30,240.80409240722656,53.617706298828125,84.91350555419922,60.4144401550293,14.947335243225098
2018-07-31,249.7251434326172,55.146888732910156,84.46540069580078,60.77787399291992,14.5837984085083
2018-08-31,257.6962585449219,53.9139404296875,85.32185363769531,62.342960357666016,14.693703651428223
2018-09-30,259.228515625,54.4343376159668,84.29370880126953,60.68190383911133,15.192514419555664
2018-10-31,241.3146514892578,50.00688552856445,84.03820037841797,58.90686798095703,14.33862018585205
2018-11-30,245.79083251953125,50.25508499145508,85.15606689453125,61.65967559814453,12.926740646362305
2018-12-31,224.14935302734375,47.566558837890625,87.54400634765625,56.756561279296875,12.40950870513916
2019-01-31,242.09597778320312,50.72255325317383,88.1152572631836,63.48483657836914,13.291620254516602
2019-02-28,249.94374084472656,52.00922775268555,87.65229797363281,63.92626953125,13.668445587158203
2019-03-31,254.4678192138672,52.486690521240234,89.9795150756836,66.6217041015625,13.617057800292969
2019-04-30,264.8635559082031,54.024227142333984,89.5129623413086,66.51437377929688,13.779778480529785
2019-05-31,247.97276306152344,51.30520248413086,92.24188995361328,66.60637664794922,12.957616806030273
2019-06-30,265.22845458984375,54.338191986083984,93.36456298828125,67.64163970947266,13.471467018127441
2019-07-31,269.2384948730469,53.280025482177734,93.40028381347656,68.7947998046875,13.317312240600586
2019-08-31,264.7304992675781,52.25493240356445,97.0911636352539,71.37200164794922,12.700692176818848
2019-09-30,269.881591796875,53.908302307128906,95.93951416015625,72.74739837646484,12.880538940429688
2019-10-31,275.8472900390625,55.73528289794922,96.11983489990234,73.56651306152344,13.128900527954102
2019-11-30,285.8324279785156,56.36357116699219,95.45926666259766,72.60697174072266,13.111772537231445
2019-12-31,294.1374206542969,58.051883697509766,94.57334899902344,73.16531372070312,13.878700256347656
2020-01-31,294.0185852050781,56.41332244873047,97.85107421875,74.06420135498047,12.686612129211426
2020-02-29,270.7424621582031,52.032676696777344,100.74915313720703,68.86006927490234,11.842577934265137
2020-03-31,236.93447875976562,44.69259262084961,104.4997329711914,55.5068473815918,9.789052963256836
2020-04-30,267.0212707519531,47.29255676269531,104.78736114501953,60.48142623901367,9.484503746032715
2020-05-31,279.74359130859375,49.859073638916016,105.13052368164062,61.53036117553711,10.250224113464355
2020-06-30,284.7046813964844,51.60972595214844,105.17538452148438,63.02240753173828,10.71139907836914
2020-07-31,301.47149658203125,52.61021041870117,106.07372283935547,65.31765747070312,11.2595853805542
2020-08-31,322.51324462890625,55.0944709777832,105.04496002197266,65.6065444946289,11.781668663024902
2020-09-30,310.4372253417969,53.966796875,105.38926696777344,63.858604431152344,11.364002227783203
2020-10-31,302.6968994140625,52.05061721801758,103.93406677246094,61.941856384277344,11.007245063781738
2020-11-30,335.6232604980469,59.477943420410156,104.2857666015625,67.93468475341797,12.12972354888916
2020-12-31,348.0575866699219,62.46100616455078,104.0370864868164,69.79205322265625,12.791028022766113
2021-01-31,344.51068115234375,61.97301483154297,102.90084075927734,69.81670379638672,13.217395782470703
2021-02-28,354.09002685546875,63.359893798828125,100.46894073486328,72.2080307006836,14.557408332824707
2021-03-31,370.1654357910156,64.9522476196289,98.07210540771484,75.92821502685547,14.45299243927002
2021-04-30,389.7509765625,66.86990356445312,99.05404663085938,81.89601135253906,15.5841703414917
2021-05-31,392.31024169921875,69.1985092163086,99.47489166259766,82.5572509765625,16.184566497802734
2021-06-30,401.10870361328125,68.4525375366211,100.49211120605469,84.73473358154297,16.750154495239258
2021-07-31,410.90081787109375,68.98189544677734,102.49211120605469,88.4807357788086,16.96769142150879
2021-08-31,423.1291198730469,69.9798812866211,102.08785247802734,90.38703918457031,16.689245223999023
2021-09-30,403.4090270996094,67.69754791259766,100.45742797851562,85.25171661376953,17.559385299682617
2021-10-31,431.71368408203125,69.84970092773438,100.01246643066406,91.33277130126953,18.57744598388672
2021-11-30,428.24493408203125,66.68221282958984,101.10474395751953,89.40625,16.950288772583008
2021-12-31,448.05023193359375,69.61017608642578,100.57487487792969,98.08367919921875,18.08146858215332
